runoff,special,state,total_votes,year
False,False,ALABAMA,1577799,1992
False,False,ALASKA,239714,1992
False,False,ARIZONA,1382051,1992
False,False,ARKANSAS,920008,1992
False,False,CALIFORNIA,10799703,1992
False,True,CALIFORNIA,10782743,1992
False,False,COLORADO,1552289,1992
False,False,CONNECTICUT,1500709,1992
False,False,FLORIDA,4962290,1992
False,False,GEORGIA,2251587,1992
True,False,GEORGIA,1253991,1992
False,False,HAWAII,363662,1992
False,False,IDAHO,478522,1992
False,False,ILLINOIS,4939558,1992
False,False,INDIANA,2211426,1992
False,False,IOWA,1292494,1992
False,False,KANSAS,1126447,1992
False,False,KENTUCKY,1330858,1992
False,False,LOUISIANA,843037,1992
False,False,MARYLAND,1841735,1992
False,False,MISSOURI,2354925,1992
False,False,NEVADA,495887,1992
False,False,NEW HAMPSHIRE,518423,1992
False,False,NEW YORK,6458826,1992
False,False,NORTH CAROLINA,2577891,1992
False,False,NORTH DAKOTA,303957,1992
False,False,OHIO,4803956,1992
False,False,OKLAHOMA,1294423,1992
False,False,OREGON,1376033,1992
False,False,PENNSYLVANIA,4802410,1992
False,False,SOUTH CAROLINA,1180438,1992
False,False,SOUTH DAKOTA,334495,1992
False,False,UTAH,758479,1992
False,False,VERMONT,285739,1992
False,False,WASHINGTON,2218802,1992
False,False,WISCONSIN,2455124,1992